# time px py vx vy
1.27000000 17.96051224 10.04923774 14.14213562 1.68343562
1.28000000 18.10193360 10.06558160 14.14213562 1.58533562
1.29000000 18.24335495 10.08094445 14.14213562 1.48723562
1.30000000 18.38477631 10.09532631 14.14213562 1.38913562
1.31000000 18.52619767 10.10872717 14.14213562 1.29103562
1.32000000 18.66761902 10.12114702 14.14213562 1.19293562
1.33000000 18.80904038 10.13258588 14.14213562 1.09483562
1.34000000 18.95046174 10.14304374 14.14213562 0.99673562
1.35000000 19.09188309 10.15252059 14.14213562 0.89863562
1.36000000 19.23330445 10.16101645 14.14213562 0.80053562
1.37000000 19.37472580 10.16853130 14.14213562 0.70243562
1.38000000 19.51614716 10.17506516 14.14213562 0.60433562
1.39000000 19.65756852 10.18061802 14.14213562 0.50623562
1.40000000 19.79898987 10.18518987 14.14213562 0.40813562
1.41000000 19.94041123 10.18878073 14.14213562 0.31003562
1.42000000 20.08183259 10.19139059 14.14213562 0.21193562
1.43000000 20.22325394 10.19301944 14.14213562 0.11383562
1.44000000 20.36467530 10.19366730 14.14213562 0.01573562
1.45000000 20.50609665 10.19333415 14.14213562 -0.08236438
1.46000000 20.64751801 10.19202001 14.14213562 -0.18046438
1.47000000 20.78893937 10.18972487 14.14213562 -0.27856438
1.48000000 20.93036072 10.18644872 14.14213562 -0.37666438
1.49000000 21.07178208 10.18219158 14.14213562 -0.47476438
1.50000000 21.21320344 10.17695344 14.14213562 -0.57286438
1.51000000 21.35462479 10.17073429 14.14213562 -0.67096438
1.52000000 21.49604615 10.16353415 14.14213562 -0.76906438
1.53000000 21.63746750 10.15535300 14.14213562 -0.86716438
1.54000000 21.77888886 10.14619086 14.14213562 -0.96526438
1.55000000 21.92031022 10.13604772 14.14213562 -1.06336438
1.56000000 22.06173157 10.12492357 14.14213562 -1.16146438
1.57000000 22.20315293 10.11281843 14.14213562 -1.25956438
1.58000000 22.34457429 10.09973229 14.14213562 -1.35766438
1.59000000 22.48599564 10.08566514 14.14213562 -1.45576438
1.60000000 22.62741700 10.07061700 14.14213562 -1.55386438
1.61000000 22.76883835 10.05458785 14.14213562 -1.65196438
1.62000000 22.91025971 10.03757771 14.14213562 -1.75006438
1.63000000 23.05168107 10.01958657 14.14213562 -1.84816438
1.64000000 23.19310242 10.00061442 14.14213562 -1.94626438
1.65000000 23.33452378 9.98066128 14.14213562 -2.04436438
1.66000000 23.47594514 9.95972714 14.14213562 -2.14246438
1.67000000 23.61736649 9.93781199 14.14213562 -2.24056438
1.68000000 23.75878785 9.91491585 14.14213562 -2.33866438
1.69000000 23.90020920 9.89103870 14.14213562 -2.43676438
1.70000000 24.04163056 9.86618056 14.14213562 -2.53486438
1.71000000 24.18305192 9.84034142 14.14213562 -2.63296438
1.72000000 24.32447327 9.81352127 14.14213562 -2.73106438
1.73000000 24.46589463 9.78572013 14.14213562 -2.82916438
1.74000000 24.60731599 9.75693799 14.14213562 -2.92726438
1.75000000 24.74873734 9.72717484 14.14213562 -3.02536438
1.76000000 24.89015870 9.69643070 14.14213562 -3.12346438
1.77000000 25.03158005 9.66470555 14.14213562 -3.22156438
1.78000000 25.17300141 9.63199941 14.14213562 -3.31966438
1.79000000 25.31442277 9.59831227 14.14213562 -3.41776438
1.80000000 25.45584412 9.56364412 14.14213562 -3.51586438
1.81000000 25.59726548 9.52799498 14.14213562 -3.61396438
1.82000000 25.73868684 9.49136484 14.14213562 -3.71206438
1.83000000 25.88010819 9.45375369 14.14213562 -3.81016438
1.84000000 26.02152955 9.41516155 14.14213562 -3.90826438
1.85000000 26.16295090 9.37558840 14.14213562 -4.00636438
1.86000000 26.30437226 9.33503426 14.14213562 -4.10446438
1.87000000 26.44579362 9.29349912 14.14213562 -4.20256438
1.88000000 26.58721497 9.25098297 14.14213562 -4.30066438
1.89000000 26.72863633 9.20748583 14.14213562 -4.39876438
1.90000000 26.87005769 9.16300769 14.14213562 -4.49686438
1.91000000 27.01147904 9.11754854 14.14213562 -4.59496438
1.92000000 27.15290040 9.07110840 14.14213562 -4.69306438
1.93000000 27.29432175 9.02368725 14.14213562 -4.79116438
1.94000000 27.43574311 8.97528511 14.14213562 -4.88926438
1.95000000 27.57716447 8.92590197 14.14213562 -4.98736438
1.96000000 27.71858582 8.87553782 14.14213562 -5.08546438
1.97000000 27.86000718 8.82419268 14.14213562 -5.18356438
1.98000000 28.00142853 8.77186653 14.14213562 -5.28166438
1.99000000 28.14284989 8.71855939 14.14213562 -5.37976438
2.00000000 28.28427125 8.66427125 14.14213562 -5.47786438
2.01000000 28.42569260 8.60900210 14.14213562 -5.57596438
2.02000000 28.56711396 8.55275196 14.14213562 -5.67406438
2.03000000 28.70853532 8.49552082 14.14213562 -5.77216438
2.04000000 28.84995667 8.43730867 14.14213562 -5.87026438
2.05000000 28.99137803 8.37811553 14.14213562 -5.96836438
2.06000000 29.13279938 8.31794138 14.14213562 -6.06646438
2.07000000 29.27422074 8.25678624 14.14213562 -6.16456438
2.08000000 29.41564210 8.19465010 14.14213562 -6.26266438
2.09000000 29.55706345 8.13153295 14.14213562 -6.36076438
2.10000000 29.69848481 8.06743481 14.14213562 -6.45886438
2.11000000 29.83990617 8.00235567 14.14213562 -6.55696438
2.12000000 29.98132752 7.93629552 14.14213562 -6.65506438
2.13000000 30.12274888 7.86925438 14.14213562 -6.75316438
2.14000000 30.26417023 7.80123223 14.14213562 -6.85126438
2.15000000 30.40559159 7.73222909 14.14213562 -6.94936438
2.16000000 30.54701295 7.66224495 14.14213562 -7.04746438
2.17000000 30.68843430 7.59127980 14.14213562 -7.14556438
2.18000000 30.82985566 7.51933366 14.14213562 -7.24366438
2.19000000 30.97127702 7.44640652 14.14213562 -7.34176438
2.20000000 31.11269837 7.37249837 14.14213562 -7.43986438
2.21000000 31.25411973 7.29760923 14.14213562 -7.53796438
2.22000000 31.39554108 7.22173908 14.14213562 -7.63606438
2.23000000 31.53696244 7.14488794 14.14213562 -7.73416438
2.24000000 31.67838380 7.06705580 14.14213562 -7.83226438
2.25000000 31.81980515 6.98824265 14.14213562 -7.93036438
2.26000000 31.96122651 6.90844851 14.14213562 -8.02846438
2.27000000 32.10264787 6.82767337 14.14213562 -8.12656438
2.28000000 32.24406922 6.74591722 14.14213562 -8.22466438
2.29000000 32.38549058 6.66318008 14.14213562 -8.32276438
2.30000000 32.52691193 6.57946193 14.14213562 -8.42086438
2.31000000 32.66833329 6.49476279 14.14213562 -8.51896438
2.32000000 32.80975465 6.40908265 14.14213562 -8.61706438
2.33000000 32.95117600 6.32242150 14.14213562 -8.71516438
2.34000000 33.09259736 6.23477936 14.14213562 -8.81326438
2.35000000 33.23401872 6.14615622 14.14213562 -8.91136438
2.36000000 33.37544007 6.05655207 14.14213562 -9.00946438
2.37000000 33.51686143 5.96596693 14.14213562 -9.10756438
2.38000000 33.65828278 5.87440078 14.14213562 -9.20566438
2.39000000 33.79970414 5.78185364 14.14213562 -9.30376438
2.40000000 33.94112550 5.68832550 14.14213562 -9.40186438
2.41000000 34.08254685 5.59381635 14.14213562 -9.49996438
2.42000000 34.22396821 5.49832621 14.14213562 -9.59806438
2.43000000 34.36538957 5.40185507 14.14213562 -9.69616438
2.44000000 34.50681092 5.30440292 14.14213562 -9.79426438
2.45000000 34.64823228 5.20596978 14.14213562 -9.89236438
2.46000000 34.78965363 5.10655563 14.14213562 -9.99046438
2.47000000 34.93107499 5.00616049 14.14213562 -10.08856438
2.48000000 35.07249635 4.90478435 14.14213562 -10.18666438
2.49000000 35.21391770 4.80242720 14.14213562 -10.28476438
2.50000000 35.35533906 4.69908906 14.14213562 -10.38286438
2.51000000 35.49676042 4.59476992 14.14213562 -10.48096438
2.52000000 35.63818177 4.48946977 14.14213562 -10.57906438
2.53000000 35.77960313 4.38318863 14.14213562 -10.67716438
2.54000000 35.92102448 4.27592648 14.14213562 -10.77526438
2.55000000 36.06244584 4.16768334 14.14213562 -10.87336438
2.56000000 36.20386720 4.05845920 14.14213562 -10.97146438
2.57000000 36.34528855 3.94825405 14.14213562 -11.06956438
2.58000000 36.48670991 3.83706791 14.14213562 -11.16766438
2.59000000 36.62813127 3.72490077 14.14213562 -11.26576438
2.60000000 36.76955262 3.61175262 14.14213562 -11.36386438
2.61000000 36.91097398 3.49762348 14.14213562 -11.46196438
2.62000000 37.05239533 3.38251333 14.14213562 -11.56006438
2.63000000 37.19381669 3.26642219 14.14213562 -11.65816438
